Название валюты;Код;Курс;Кол-во;Дата
Австралийский доллар;AUD;1.8648;1;30-01-2022 11:58
Армянских драмов;AMD;5.4465;1000;30-01-2022 11:58
Болгарский лев;BGN;1.505;1;30-01-2022 11:58
Гривен;UAH;9.0694;100;30-01-2022 11:58
Датских крон;DKK;3.955;10;30-01-2022 11:58
Доллар США;USD;2.6293;1;30-01-2022 11:58
Евро;EUR;2.9482;1;30-01-2022 11:58
Злотых;PLN;6.4402;10;30-01-2022 11:58
Иен;JPY;2.286;100;30-01-2022 11:58
Иранских риалов;IRR;6.2602;100000;30-01-2022 11:58
Исландских крон;ISK;2.0246;100;30-01-2022 11:58
Канадский доллар;CAD;2.075;1;30-01-2022 11:58
Китайских юаней;CNY;4.1325;10;30-01-2022 11:58
Кувейтский динар;KWD;8.6844;1;30-01-2022 11:58
Молдавских леев;MDL;1.4664;10;30-01-2022 11:58
Новозеландский доллар;NZD;1.7415;1;30-01-2022 11:58
Норвежских крон;NOK;2.9362;10;30-01-2022 11:58
Российских рублей;RUB;3.3334;100;30-01-2022 11:58
СДР (Специальные права заимствования);XDR;3.6803;1;30-01-2022 11:58
Сингапурcкий доллар;SGD;1.9463;1;30-01-2022 11:58
Сомов;KGS;3.0998;100;30-01-2022 11:58
Тенге;KZT;6.0534;1000;30-01-2022 11:58
Турецких лир;TRY;1.9313;10;30-01-2022 11:58
Фунт стерлингов;GBP;3.5305;1;30-01-2022 11:58
Чешских крон;CZK;12.0054;100;30-01-2022 11:58
Шведских крон;SEK;2.8155;10;30-01-2022 11:58
Швейцарский франк;CHF;2.835;1;30-01-2022 11:58
